14,г.Ташкент,Tashkent City,Тошкент шахар, 1.2786
9,Сурхандарьинской области,Surxondaryo,Сурхондарё вилояти, 1.2739
5,Кашкадарьинской области,Qashqadaryo,Кашкадарё вилояти, 1.3769
8,Самаркандской области,Samarqand,Самарканд вилояти, 1.3008
12,Ферганской области,Fergana,Фаргона вилояти, 1.3958
10,Сырдарьинской области,Sirdaryo,Сирдарё вилояти, 1.4097
2,Андижанской области,Andijan,Андижон вилояти, 1.3849
4,Джизакской области,Jizzakh,Жиззах вилояти, 1.4188
13,Хорезмской области,Xorazm,Хоразм вилояти, 1.3608
3,Бухарской области,Bukhara,Бухоро вилояти, 1.4499
7,Наманганской области,Namangan,Наманган вилояти, 1.282
11,Ташкентской области,Tashkent Region,Тошкент вилояти, 1.2786
6,Навоийской области,Navoiy,Навоий вилояти, 1.4819
1,Республики Каракалпакстан,Karakalpakstan,Коракалпогистон Республикаси, 1.5817
